timestamp,sensor_name,x,y,z
2025-03-16T04:05:05.376183,LSM6DS3,-3.11,10.99,-1.65
2025-03-16T04:05:10.380248,LSM6DS3,0.24,0.18,0.55
2025-03-16T04:05:15.499947,LSM6DS3,0.67,0.06,0.43
2025-03-16T04:05:20.396880,LSM6DS3,0.37,0.24,0.31
2025-03-16T04:05:25.507869,LSM6DS3,-4.7,0.67,0.85
2025-03-16T04:05:30.428038,LSM6DS3,0.49,0.24,0.31
2025-03-16T04:05:35.520233,LSM6DS3,0.49,0.24,0.37
2025-03-16T04:05:40.465474,LSM6DS3,0.49,0.24,0.37
2025-03-16T04:05:45.663966,LSM6DS3,0.61,0.24,0.31
2025-03-16T04:05:50.575651,LSM6DS3,0.61,0.18,0.37
2025-03-16T04:05:55.499334,LSM6DS3,0.73,0.37,0.24
2025-03-16T04:06:00.571182,LSM6DS3,1.59,6.04,0.73
2025-03-16T04:06:05.498395,LSM6DS3,0.79,0.18,0.43
2025-03-16T04:06:10.547425,LSM6DS3,0.61,0.18,0.43
2025-03-16T04:06:15.663499,LSM6DS3,0.67,0.24,0.37
2025-03-16T04:06:20.548304,LSM6DS3,0.43,0.12,0.31
2025-03-16T04:06:25.694258,LSM6DS3,0.55,0.24,0.43
2025-03-16T04:06:30.635989,LSM6DS3,0.55,0.24,0.37
2025-03-16T04:06:35.579967,LSM6DS3,0.61,0.31,0.37
2025-03-16T04:06:40.631047,LSM6DS3,0.49,0.12,0.49
2025-03-16T04:06:45.613931,LSM6DS3,0.61,0.49,0.37
2025-03-16T04:06:50.686774,LSM6DS3,0.61,0.0,0.37
2025-03-16T04:06:55.697366,LSM6DS3,0.0,-0.18,0.49
2025-03-16T04:07:00.722577,LSM6DS3,0.55,0.18,0.49
2025-03-16T04:07:05.658132,LSM6DS3,0.61,0.12,0.31
2025-03-16T04:07:10.674183,LSM6DS3,0.49,0.18,0.37
2025-03-16T04:07:15.697199,LSM6DS3,-0.37,1.04,-0.43
2025-03-16T04:07:20.795193,LSM6DS3,0.79,0.18,0.31
2025-03-16T04:07:25.737128,LSM6DS3,0.61,0.18,0.37
2025-03-16T04:07:30.747259,LSM6DS3,0.61,0.18,0.37
2025-03-16T04:07:35.737651,LSM6DS3,0.49,0.31,0.37
2025-03-16T04:07:40.750830,LSM6DS3,2.32,-1.22,1.46
2025-03-16T04:07:45.793338,LSM6DS3,1.77,-0.31,-1.83
2025-03-16T04:07:50.893876,LSM6DS3,-2.38,-1.71,0.98
2025-03-16T04:07:55.818825,LSM6DS3,-0.37,4.03,2.69
2025-03-16T04:08:00.823980,LSM6DS3,0.55,0.37,0.49
2025-03-16T04:08:05.820074,LSM6DS3,0.55,0.24,0.37
2025-03-16T04:08:10.983052,LSM6DS3,0.61,0.31,0.43
2025-03-16T04:08:15.833128,LSM6DS3,0.43,0.31,0.37
2025-03-16T04:08:20.867451,LSM6DS3,0.79,1.53,0.24
2025-03-16T04:08:25.891708,LSM6DS3,0.85,0.31,0.37
2025-03-16T04:08:30.892452,LSM6DS3,1.89,1.4,-0.55
2025-03-16T04:08:35.919202,LSM6DS3,0.12,0.43,0.37
2025-03-16T04:08:40.971438,LSM6DS3,2.38,0.79,0.18
2025-03-16T04:08:45.948137,LSM6DS3,0.85,0.06,-0.31
2025-03-16T04:08:50.939960,LSM6DS3,0.43,0.31,0.31
2025-03-16T04:08:55.953484,LSM6DS3,0.31,0.31,0.31
