Time(ms),X,Y,Z
83324,-613.10,-662.84,-52.86
83426,-463.99,112.06,600.28
83529,-215.21,382.39,192.75
83632,682.07,855.96,-947.08
83735,-179.93,506.53,1317.26
83837,-1131.29,-962.59,-449.34
83941,-367.37,346.13,675.17
84044,628.91,728.88,-1016.54
84147,53.65,354.74,1317.99
84250,-757.14,-903.69,61.40
84353,-476.32,255.31,850.40
84456,323.91,1011.41,-227.84
84559,165.22,283.26,529.72
84661,-179.08,-403.38,939.82
84764,643.49,-154.72,-92.96
84867,232.12,1000.92,598.82
84970,428.53,224.24,-701.42
85072,83.50,8.30,1085.88
85175,-861.51,-890.56,-442.57
85278,-66.77,846.37,659.85
85381,396.12,344.42,-852.48
85483,193.66,56.09,1273.74
85586,-1065.49,-1069.82,-258.67
85689,-231.93,600.22,822.27
85792,540.10,900.88,-847.66
85895,240.66,295.17,1494.63
85998,-1279.72,-1206.91,165.83
86100,-316.77,418.09,1034.36
86202,637.76,1178.96,-483.83
86305,264.04,385.38,1329.47
86407,-1079.71,-992.25,626.59
86510,-297.06,369.26,952.21
86612,289.43,1146.67,149.48
86715,212.28,141.42,173.65
86818,-211.61,-357.36,1096.31
86921,116.58,46.45,146.00
87024,-35.52,953.92,318.85
87127,222.41,358.40,-511.47
87230,8.48,-264.28,1301.45
87333,138.06,-328.86,-747.62
87436,-23.44,865.23,400.02
87539,417.18,510.31,-916.50
87642,26.37,0.18,1199.71
87745,-831.24,-861.82,-515.62
87848,-52.12,795.78,237.98
87951,138.98,401.00,-509.89
88054,12.63,-198.97,1117.13
88156,-538.33,-786.19,-416.63
88259,-174.38,686.83,406.56
88362,386.78,654.91,-679.63
88465,13.12,-161.80,977.11
88568,-286.44,-661.19,-186.46
88671,36.80,328.43,-50.96
88774,-6.35,96.56,-96.62
88877,90.64,172.73,122.68
88980,49.38,179.02,-22.71
89082,317.69,126.59,-207.21
89185,-153.81,137.33,240.48
89288,-34.67,15.44,20.45
89391,-0.37,90.09,-172.55
89494,-67.38,133.36,-66.59
89597,202.70,274.41,-136.84
89700,113.89,-128.42,36.99
89803,5.62,-49.38,-31.62
89906,79.35,85.02,13.24
90009,-3.36,-59.88,75.93
90113,-198.85,-317.50,83.19
90216,-32.90,74.65,-2.14
90319,-51.57,-16.72,16.05
90422,-50.78,-39.43,66.16
90524,8.85,6.96,-17.88
90627,4.21,10.50,15.75
90730,107.30,140.26,36.99
90834,88.75,74.77,-22.22
90936,-13.55,29.72,-3.05
91039,-27.28,30.82,-18.68
91142,20.26,72.69,-53.83
91245,-28.81,-10.74,10.62
91348,-15.69,4.88,7.32
91450,-7.93,10.01,3.78
91553,-4.39,-11.90,7.87
91657,-7.57,-2.99,8.48
91760,10.99,9.34,0.24
91863,64.21,116.82,-39.86
91966,8.00,7.20,18.07
92069,-3.78,-4.09,58.96
92171,-20.81,-11.41,70.50
92274,-32.23,1.34,81.48
92376,-28.93,-4.46,43.09
92479,-9.58,-0.24,-31.31
92583,-17.46,55.42,-49.87
92686,-40.53,-123.17,17.70
92788,24.35,-26.67,42.60
92891,7.69,-42.24,-17.52
92995,8.24,36.07,-1.59
93098,-11.60,120.79,-22.09
93201,29.79,-7.63,36.56
93304,-7.20,-1.40,-0.73
93407,1.16,-19.53,4.39
93510,17.94,-222.47,48.52
93613,22.22,-6.16,-15.75
93717,19.23,4.70,-12.51
93820,21.55,-9.28,14.59
93922,9.34,-15.63,-9.40
94026,-128.23,-59.27,55.54
94128,-77.76,-89.90,2.75
94231,23.19,-63.42,-28.20
94334,73.43,3.11,-14.16
94437,6.59,-56.70,35.03
94539,-28.20,122.99,-2.26
94642,-291.38,-94.67,5.68
94745,32.10,49.68,-111.21
94849,-77.64,-5.19,-133.06
94952,159.30,92.35,-203.19
95055,-55.85,-13.67,4.64
95158,85.02,-60.91,47.73
95260,74.22,184.14,78.80
95363,45.04,-26.61,-59.81
95465,21.73,-18.31,4.39
95568,-14.47,-4.21,-35.71
95672,13.31,10.80,8.24
95774,-7.45,-19.59,-37.35
95878,11.35,11.41,-6.04
95981,1.53,4.03,-0.31
96083,3.36,1.65,-17.88
96186,4.58,1.95,1.77
96288,4.70,4.33,-2.56
96391,1.59,4.64,-1.16
96494,2.38,2.99,1.22
96596,1.46,-3.17,-6.71
96699,7.32,4.52,-1.53
96802,4.21,4.33,3.11
96905,2.93,6.96,-7.87
97008,-2.38,-2.38,2.38
97110,-2.32,6.23,29.79
