timestamp,accelX,accelY,accelZ
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:46,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:47,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:48,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:49,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:50,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:51,0.09,-0.26,0.97
2025-02-17 12:10:52,0.09,-0.26,0.97
2025-02-17 12:10:52,0.09,-0.26,0.97
2025-02-17 12:10:52,0.09,-0.26,0.97
2025-02-17 12:10:52,0.09,-0.26,0.97
2025-02-17 12:10:52,0.09,-0.26,0.97
2025-02-17 12:10:52,0.09,-0.26,0.97
2025-02-17 12:10:52,0.09,-0.26,0.97
