Timestamp,X,Y,Z
2025-03-04 17:25:59,-1.16,-1.4,-0.73
2025-03-04 17:25:59,-1.59,-1.46,1.71
2025-03-04 17:26:00,-0.92,0.73,-5.31
2025-03-04 17:26:00,2.93,-3.66,0.31
2025-03-04 17:26:01,0.92,-1.4,6.41
2025-03-04 17:26:01,1.04,-0.55,-9.52
2025-03-04 17:26:02,-3.66,1.95,9.95
2025-03-04 17:26:02,1.04,4.15,-3.6
2025-03-04 17:26:03,2.44,2.5,4.27
2025-03-04 17:26:03,-4.58,3.48,4.39
2025-03-04 17:26:03,4.15,-1.1,-10.25
2025-03-04 17:26:04,-4.64,-1.28,5.74
2025-03-04 17:26:04,1.46,3.3,-1.77
2025-03-04 17:26:05,-2.87,-0.31,1.22
2025-03-04 17:26:05,-2.69,0.49,2.14
2025-03-04 17:26:06,-0.98,0.73,0.55
2025-03-04 17:26:06,-0.79,0.55,0.98
2025-03-04 17:26:07,-0.49,-0.43,-0.18
2025-03-04 17:26:07,-0.61,0.79,1.28
2025-03-04 17:26:08,-1.4,-0.24,1.16
2025-03-04 17:26:08,0.06,0.18,1.34
2025-03-04 17:26:08,-1.95,0.67,0.49
2025-03-04 17:26:09,-1.04,-0.18,-0.61
2025-03-04 17:26:09,1.77,-0.31,0.49
2025-03-04 17:26:10,0.79,0.06,0.61
2025-03-04 17:26:10,2.2,0.43,0.06
2025-03-04 17:26:11,1.65,0.37,-0.98
2025-03-04 17:26:11,1.4,-0.43,0.49
2025-03-04 17:26:11,-1.71,0.12,0.73
2025-03-04 17:26:12,0.31,0.18,1.95
2025-03-04 17:26:12,-0.49,0.55,-0.18
2025-03-04 17:26:12,0.85,0.85,-0.06
2025-03-04 17:26:13,-0.55,0.98,1.95
2025-03-04 17:26:13,2.81,0.18,1.46
2025-03-04 17:26:14,0.92,0.18,0.37
2025-03-04 17:26:14,9.16,0.98,0.12
2025-03-04 17:26:15,-3.23,-2.08,-0.24
2025-03-04 17:26:15,-0.49,3.54,0.12
2025-03-04 17:26:16,1.4,1.22,-0.06
2025-03-04 17:26:16,0.18,-0.43,0.55
2025-03-04 17:26:16,1.28,0.0,0.12
2025-03-04 17:26:17,0.73,-0.18,-0.61
2025-03-04 17:26:17,0.18,-0.18,0.06
2025-03-04 17:26:18,-1.71,1.22,-2.14
2025-03-04 17:26:18,-0.55,0.49,2.26
2025-03-04 17:26:19,-0.37,3.85,3.17
2025-03-04 17:26:19,0.37,1.46,-0.79
2025-03-04 17:26:19,-2.81,-1.34,-0.85
2025-03-04 17:26:20,2.38,-0.31,4.58
2025-03-04 17:26:20,-1.16,-0.79,-1.95
2025-03-04 17:26:21,-1.53,0.73,-0.61
2025-03-04 17:26:21,0.49,3.36,-0.67
2025-03-04 17:26:22,2.38,-1.22,-0.31
2025-03-04 17:26:22,0.0,0.55,0.49
2025-03-04 17:26:23,0.85,-0.06,0.06
2025-03-04 17:26:23,1.83,0.55,-1.22
2025-03-04 17:26:24,0.67,-0.37,0.31
